Level \ 1*     2      3      4      5      6      7      8      9
2       2      5      8      2      5      8      2      2      2
3       1      3      6      1      3      6      1      1      1
4       3      3      9      3      3      9      2      3      3
5       0      3      5      0      3      5      1      0      1
6       2      4      7      2      4      7      2      2      2
7       2      5      1      2      5      10     2      2      2
8       1      4      1      1      4      10     1      1      0
9       3      5      8      3      5      8      3      3      3
10      3      4      9      3      4      9      3      3      3
11      3      3      5      3      3      5      3      3      3
12      2      5      5      2      5      5      2      2      2
13      3      4      8      3      4      8      3      3      3
14      1      4      6      1      4      6      1      1      1
15      1      5      9      1      5      9      1      1      1
16      3      3      8      3      3      8      3      3      3
17      2      2      2      5      2      5      2      5      10
18      3      3      3      3      3      3      3      3      8
19      2      2      2      3      2      3      2      3      8
20      1      1      1      3      1      3      1      3      5
21      0      0      0      4      0      4      0      4      6
22      2      2      2      5      2      5      2      5      8
23      3      3      3      4      3      4      3      4      9
24      3      3      3      5      3      5      3      5      9
25      1      1      1      4      1      4      1      4      5
26      2      2      2      3      2      3      2      3      5
27      0      0      0      5      0      5      0      5      8
28      3      3      3      4      3      4      3      4      8
29      3      3      3      4      3      4      3      4      9
30      3      3      3      5      3      5      3      5      7
31      2      2      2      3      2      3      2      3      7
32      2      2      2      3      2      3      2      3      8
33      2      2      2      3      2      3      2      3      5
34      2      2      2      4      2      4      2      4      10
35      2      2      2      4      2      4      2      4      9
36      3      3      3      5      3      5      3      5      7
37      1      1      1      5      1      5      1      5      8
38      1      1      1      5      1      5      1      5      6
39      2      2      2      3      2      3      2      3      6
40      3      3      3      4      3      4      3      4      9
41      2      2      2      4      2      4      2      4      8
42      3      1      1      3      3      1      5      5      5
43      3      0      0      3      3      0      3      3      3
44      1      1      1      1      1      1      4      4      4
45      2      1      1      2      2      1      4      4      4
46      2      0      0      2      2      0      4      4      4
47      1      0      0      1      1      0      3      3      3
48      2      1      1      2      2      1      3      3      3
49      2      0      0      2      2      0      5      5      5
50      2      1      1      2      2      1      5      5      5
51      2      0      0      2      2      1      5      5      5
52      3      1      1      3      3      0      3      4      4
53      0      1      1      0      0      1      3      5      5
54      3      0      0      3      3      0      3      4      4
55      0      1      1      0      0      1      4      3      3
56      2      1      1      2      2      1      5      5      5
57      2      1      1      2      2      1      4      4      4
58      1      0      0      1      1      0      5      4      4
59      3      0      0      3      3      0      4      5      5
60      3      1      1      3      3      1      3      3      3
61      3      0      0      3      3      0      5      5      3
62      2      1      1      2      2      1      4      4      3
63      3      0      0      3      3      0      4      4      4
64      1      0      0      1      1      0      5      5      4
65      1      1      1      1      1      1      3      3      5
66      3      0      0      3      3      0      3      3      5
67      2      1      1      2      2      1      3      3      5
68      3      0      0      3      3      0      4      4      3
69      2      1      1      2      2      1      4      4      4
70      1      0      0      1      1      0      5      5      5
71      0      0      0      0      0      0      5      5      5
72      2      1      1      2      2      0      5      5      5
73      3      0      0      3      3      1      3      3      3
74      3      1      1      3      3      1      4      4      4
75      1      0      0      1      1      0      4      4      4
76      2      0      0      2      2      0      5      5      5
77      0      1      1      0      0      1      3      3      3
78      3      1      1      3      3      1      3      3      3
79      3      0      0      3      3      0      3      3      3
80      3      1      0      3      3      1      4      4      4
81      2      0      1      2      2      0      5      5      5
82      2      1      1      2      2      1      4      3      3
83      2      0      1      2      2      0      5      3      3
84      2      1      0      2      2      1      4      3      3
85      2      0      0      2      2      0      3      3      3
86      3      1      0      3      3      1      5      5      5
87      1      0      0      1      1      0      4      4      4
88      1      1      1      0      0      1      4      4      4
89      2      0      1      2      2      0      5      5      5
90      3      1      1      3      3      1      3      3      3
91      2      0      0      2      2      0      3      3      5
92      3      1      1      3      3      1      3      3      4
93      3      0      0      3      3      0      4      4      4
94      1      1      1      1      1      1      4      4      4
95      2      1      1      2      2      1      5      5      3
96      1      0      0      1      1      0      5      5      3
97      2      0      0      2      2      0      5      5      3
98      2      0      0      2      2      0      3      3      4
99      2      1      1      3      3      1      4      4      5
